timestamp,perc coverage,coverage (km+AF4-2)
2004+AC0-07+AC0-19,0.0541000491,436139.271012
2004+AC0-07+AC0-20,0.0528379819,425964.843333
2004+AC0-07+AC0-21,0.0528379819,425964.843333
2004+AC0-07+AC0-22,0.0528379819,425964.843333
2004+AC0-07+AC0-23,0.0528379819,425964.843333
2004+AC0-07+AC0-24,0.0533694332,430249.253265
2004+AC0-07+AC0-25,0.0498408521,401802.831973
2004+AC0-07+AC0-26,0.0498408521,401802.831973
2004+AC0-07+AC0-27,0.0498408521,401802.831973
2004+AC0-07+AC0-28,0.0498408521,401802.831973
2004+AC0-07+AC0-29,0.0362445022,292192.909801
2004+AC0-07+AC0-30,0.0361026775,291049.559118
2004+AC0-07+AC0-31,0.0324046246,261236.904671
2004+AC0-08+AC0-01,0.0324046246,261236.904671
2004+AC0-08+AC0-02,0.0324046246,261236.904671
2004+AC0-08+AC0-03,0.0324046246,261236.904671
2004+AC0-08+AC0-04,0.0324046246,261236.904671
2004+AC0-08+AC0-05,0.0331460936,267214.417605
2004+AC0-08+AC0-06,0.0331460936,267214.417605
2004+AC0-08+AC0-07,0.0325435115,262356.571418
2004+AC0-08+AC0-08,0.0325435115,262356.571418
2004+AC0-08+AC0-09,0.0325435115,262356.571418
2004+AC0-08+AC0-10,0.0297257296,239640.411662
2004+AC0-08+AC0-11,0.0297257296,239640.411662
2004+AC0-08+AC0-12,0.0297257296,239640.411662
2004+AC0-08+AC0-13,0.0267622369,215749.573265
2004+AC0-08+AC0-14,0.0231720666,186806.637008
2004+AC0-08+AC0-15,0.0266213296,214613.618127
2004+AC0-08+AC0-16,0.0248887709,200646.221045
2004+AC0-08+AC0-17,0.0247885804,199838.513758
2004+AC0-08+AC0-18,0.0247885804,199838.513758
2004+AC0-08+AC0-19,0.0247885804,199838.513758
2004+AC0-08+AC0-20,0.0243742505,196498.302952
2004+AC0-08+AC0-21,0.0239612305,193168.653185
2004+AC0-08+AC0-22,0.0242857694,195784.993377
2004+AC0-08+AC0-23,0.0242857694,195784.993377
2004+AC0-08+AC0-24,0.0242857694,195784.993377
2004+AC0-08+AC0-25,0.0246131584,198424.311029
2004+AC0-08+AC0-26,0.0246131584,198424.311029
2004+AC0-08+AC0-27,0.0246131584,198424.311029
2004+AC0-08+AC0-28,0.0250885456,202256.748406
2004+AC0-08+AC0-29,0.0252118341,203250.664665
2004+AC0-08+AC0-30,0.0317778396,256183.941659
2004+AC0-08+AC0-31,0.0328492032,264820.971017
2004+AC0-09+AC0-01,0.0328492032,264820.971017
2004+AC0-09+AC0-02,0.0328492032,264820.971017
2004+AC0-09+AC0-03,0.0327476005,264001.879488
2004+AC0-09+AC0-04,0.0327476005,264001.879488
2004+AC0-09+AC0-05,0.0327476005,264001.879488
2004+AC0-09+AC0-06,0.0297698355,239995.981498
2004+AC0-09+AC0-07,0.0297698355,239995.981498
2004+AC0-09+AC0-08,0.0297698355,239995.981498
2004+AC0-09+AC0-09,0.0281498282,226935.941
2004+AC0-09+AC0-10,0.0285117726,229853.834563
2004+AC0-09+AC0-11,0.0285117726,229853.834563
2004+AC0-09+AC0-12,0.025432951,205033.246995
2004+AC0-09+AC0-13,0.0386619856,311681.976681
2004+AC0-09+AC0-14,0.0338781756,273116.255592
2004+AC0-09+AC0-15,0.032555156,262450.445713
2004+AC0-09+AC0-16,0.0320636294,258487.89751
2004+AC0-09+AC0-17,0.0286991755,231364.623394
2004+AC0-09+AC0-18,0.0298027702,240261.491243
2004+AC0-09+AC0-19,0.0296544542,239065.809584
2004+AC0-09+AC0-20,0.0296544542,239065.809584
2004+AC0-09+AC0-21,0.03217392,259377.029638
2004+AC0-09+AC0-22,0.0593239281,478252.704487
2004+AC0-09+AC0-23,0.0593239281,478252.704487
2004+AC0-09+AC0-24,0.0580028818,467602.802844
2004+AC0-09+AC0-25,0.0580028818,467602.802844
2004+AC0-09+AC0-26,0.0516817944,416643.987129
2004+AC0-09+AC0-27,0.0516817944,416643.987129
2004+AC0-09+AC0-28,0.0516817944,416643.987129
2004+AC0-09+AC0-29,0.0575352441,463832.840503
2004+AC0-09+AC0-30,0.0580458331,467949.064603
2004+AC0-10+AC0-01,0.0580458331,467949.064603
2004+AC0-10+AC0-02,0.0559574905,451113.438013
2004+AC0-10+AC0-03,0.0559574905,451113.438013
2004+AC0-10+AC0-04,0.0873219179,703964.567267
2004+AC0-10+AC0-05,0.094075565,758410.556666
2004+AC0-10+AC0-06,0.0974180173,785356.46072
2004+AC0-10+AC0-07,0.1005709597,810774.588827
2004+AC0-10+AC0-08,0.1005709597,810774.588827
2004+AC0-10+AC0-09,0.1005709597,810774.588827
2004+AC0-10+AC0-10,0.1005709597,810774.588827
2004+AC0-10+AC0-11,0.0904291734,729014.380565
2004+AC0-10+AC0-12,0.0924849148,745587.185533
2004+AC0-10+AC0-13,0.0924849148,745587.185533
2004+AC0-10+AC0-14,0.0977366913,787925.520548
2004+AC0-10+AC0-15,0.1220459502,983899.879641
2004+AC0-10+AC0-16,0.1281816329,1033364.01531
2004+AC0-10+AC0-17,0.1281816329,1033364.01531
2004+AC0-10+AC0-18,0.1273130096,1026361.42055
2004+AC0-10+AC0-19,0.1323719652,1067145.28777
2004+AC0-10+AC0-20,0.125154419,1008959.47464
2004+AC0-10+AC0-21,0.1257231996,1013544.82258
2004+AC0-10+AC0-22,0.1185429145,955659.398392
2004+AC0-10+AC0-23,0.1270864507,1024534.96702
2004+AC0-10+AC0-24,0.1341070386,1081132.95795
2004+AC0-10+AC0-25,0.1341070386,1081132.95795
2004+AC0-10+AC0-26,0.1338085322,1078726.4834
2004+AC0-10+AC0-27,0.1228839818,990655.852902
2004+AC0-10+AC0-28,0.1228839818,990655.852902
2004+AC0-10+AC0-29,0.1437610595,1158960.94011
2004+AC0-10+AC0-30,0.1360711447,1096967.02452
2004+AC0-10+AC0-31,0.1365497199,1100825.16218
2004+AC0-11+AC0-01,0.1365497199,1100825.16218
2004+AC0-11+AC0-02,0.1384690494,1116298.25332
2004+AC0-11+AC0-03,0.1392256111,1122397.43938
2004+AC0-11+AC0-04,0.1392653798,1122718.04377
2004+AC0-11+AC0-05,0.1393245094,1123194.72986
2004+AC0-11+AC0-06,0.1424737859,1148583.30494
2004+AC0-11+AC0-07,0.1424737859,1148583.30494
2004+AC0-11+AC0-08,0.1417302806,1142589.37583
2004+AC0-11+AC0-09,0.1393495744,1123396.79648
2004+AC0-11+AC0-10,0.1472700401,1187249.34719
2004+AC0-11+AC0-11,0.1518019446,1223784.27764
2004+AC0-11+AC0-12,0.2257380668,1819836.35141
2004+AC0-11+AC0-13,0.145807632,1175459.82717
2004+AC0-11+AC0-14,0.1451347682,1170035.38989
2004+AC0-11+AC0-15,0.1453379173,1171673.12041
2004+AC0-11+AC0-16,0.1486437552,1198323.84897
2004+AC0-11+AC0-17,0.1474819031,1188957.32699
2004+AC0-11+AC0-18,0.1479493088,1192725.41903
2004+AC0-11+AC0-19,0.1493186706,1203764.82643
2004+AC0-11+AC0-20,0.16580178,1336646.98526
2004+AC0-11+AC0-21,0.1637135678,1319812.41013
2004+AC0-11+AC0-22,0.1646332966,1327227.00273
2004+AC0-11+AC0-23,0.1753086068,1413288.32985
2004+AC0-11+AC0-24,0.1770733262,1427514.99791
2004+AC0-11+AC0-25,0.268754747,2166624.64238
2004+AC0-11+AC0-26,0.261953421,2111794.27849
2004+AC0-11+AC0-27,0.2550445372,2056096.81459
2004+AC0-11+AC0-28,0.2536937522,2045207.16821
2004+AC0-11+AC0-29,0.2034644436,1640272.7105
2004+AC0-11+AC0-30,0.2121903258,1710618.30116
2004+AC0-12+AC0-01,0.210204105,1694605.95178
2004+AC0-12+AC0-02,0.2101900868,1694492.94079
2004+AC0-12+AC0-03,0.1915728402,1544405.97224
2004+AC0-12+AC0-04,0.2051481718,1653846.45086
2004+AC0-12+AC0-05,0.2194518375,1769158.55191
2004+AC0-12+AC0-06,0.2228625222,1796654.52524
